"id","person_id","occupation_id"
1238,1320,3
1239,1321,16
1242,1323,16
1243,1323,5
1244,1325,4
1245,1326,16
1248,1328,61
1249,1328,29
1250,1329,3
1251,1330,3
1252,1330,4
1253,1334,7
1254,1334,11
1255,1335,3
1256,1336,4
1257,1336,43
1258,1336,31
1259,1337,3
1260,1338,3
1261,1339,13
1262,1340,3
1263,1341,3
1264,1342,3
1265,1343,7
1266,1343,59
1267,1344,6
1268,1344,18
1269,1344,9
1270,1345,3
1271,1345,4
1275,1350,3
1276,1351,16
1277,1353,16
1278,1355,3
1279,1356,10
1280,1357,7
1281,1358,11
1282,1359,3
1283,1359,1
1286,1361,11
1287,1362,3
1289,1365,11
1290,1368,34
1291,1369,3
1292,1370,5
1293,1370,28
1294,1370,21
1295,1372,3
1296,1372,24
1297,1373,16
1300,1376,5
1301,1377,3
1303,1381,42
1304,1381,18
1305,1382,7
1306,1384,3
1307,1385,18
1308,1388,7
1309,1388,46
1310,1388,5
1311,1389,16
1312,1390,6
1313,1392,3
1314,1394,4
1315,1397,6
1316,1398,3
1317,1400,3
1318,1402,16
1319,1403,3
1320,1404,3
1321,1405,3
1322,1406,10
1323,1406,16
1324,1407,3
1325,1408,3
1326,1411,3
1327,1412,3
1328,1413,3
1329,1414,1
1330,1415,7
1331,1418,32
1332,1418,16
1333,1420,4
1334,1422,11
1335,1424,3
1336,1425,4
1337,1425,78
1338,1426,5
1339,1426,16
1340,1427,43
1341,1429,61
1342,1429,18
1343,1431,31
1344,1433,3
1345,1435,16
1347,1437,6
1348,1438,3
1349,1439,7
1350,1440,3
1351,1441,7
1352,1442,7
1353,1442,3
1354,1443,49
1355,1443,60
1356,1444,7
1357,1444,3
1358,1447,11
1359,1448,21
1360,1448,7
1361,1448,19
1362,1448,9
1363,1449,3
1364,1451,3
1365,1452,16
1366,1453,4
1367,1454,3
1368,1457,16
1369,1458,5
1370,1458,16
1371,1460,11
1372,1460,1
1373,1460,29
1374,1460,54
1376,1462,3
1377,1465,16
1378,1467,3
1379,1468,16
1380,1472,11
1381,1475,16
1382,1479,6
1383,1480,22
1384,1484,43
1385,1484,11
1386,1486,4
1387,1486,3
1388,1486,7
1389,1487,21
1390,1487,5
1391,1487,7
1392,1491,5
1393,1492,16
1394,1492,22
1395,1492,5
1396,1494,7
1397,1494,37
1398,1494,40
1399,1494,18
1400,1495,34
1401,1495,18
1404,1498,1
1405,1498,21
1406,1499,7
1407,1500,14
1408,1501,7
1409,1503,3
1410,1504,3
1411,1505,3
1412,1506,3
1413,1507,3
1414,1508,3
1415,1510,4
1416,1511,13
1417,1512,29
1418,1513,1
1419,1513,13
1420,1514,11
1421,1514,3
1422,1514,7
1423,1515,7
1427,1518,5
1428,1519,4
1429,1520,7
1430,1521,3
1431,1522,21
1432,1522,5
1433,1524,4
1434,1524,28
1435,1525,4
1436,1526,3
1437,1526,7
1438,1527,11
1439,1529,6
1440,1530,4
1441,1531,38
1442,1531,8
1443,1531,19
1444,1531,35
1445,1532,3
1446,1533,4
1447,1534,3
1448,1535,3
1449,1536,31
1450,1538,3
1451,1539,3
1452,1540,7
1454,1542,3
1455,1542,18
1456,1543,21
